name,hour,day,weekday,month,year,availableSpotNumber,total,occupation
San Juan De La Cruz,14,13,7,11,2021,275,487,0.44
Pz. de la Marina,14,13,7,11,2021,0,430,1
Tejón y Rodriguez,14,13,7,11,2021,34,187,0.82
Salitre,13,13,7,11,2021,203,435,0.53
Cervantes,13,13,7,11,2021,244,409,0.4
El Palo,13,13,7,11,2021,23,127,0.82
Av. de Andalucía,13,13,7,11,2021,212,613,0.65
Camas,13,13,7,11,2021,194,350,0.45
Cruz De Humilladero,13,13,7,11,2021,76,217,0.65
Alcazaba,13,13,7,11,2021,186,378,0.51
San Juan De La Cruz,13,13,7,11,2021,282,487,0.42
Pz. de la Marina,13,13,7,11,2021,0,430,1
Tejón y Rodriguez,13,13,7,11,2021,30,187,0.84
Salitre,12,13,7,11,2021,230,435,0.47
Cervantes,12,13,7,11,2021,257,409,0.37
El Palo,12,13,7,11,2021,28,127,0.78
Av. de Andalucía,12,13,7,11,2021,243,613,0.6
Camas,12,13,7,11,2021,194,350,0.45
Cruz De Humilladero,12,13,7,11,2021,77,217,0.65
Alcazaba,12,13,7,11,2021,186,378,0.51
San Juan De La Cruz,12,13,7,11,2021,289,487,0.41
Pz. de la Marina,12,13,7,11,2021,0,430,1
Tejón y Rodriguez,12,13,7,11,2021,48,187,0.74
Salitre,11,13,7,11,2021,230,435,0.47
Cervantes,11,13,7,11,2021,272,409,0.33
El Palo,11,13,7,11,2021,25,127,0.8
Av. de Andalucía,11,13,7,11,2021,359,613,0.41
Camas,11,13,7,11,2021,194,350,0.45
Cruz De Humilladero,11,13,7,11,2021,79,217,0.64
Alcazaba,11,13,7,11,2021,186,378,0.51
San Juan De La Cruz,11,13,7,11,2021,292,487,0.4
Pz. de la Marina,11,13,7,11,2021,0,430,1
Tejón y Rodriguez,11,13,7,11,2021,60,187,0.68
Salitre,10,13,7,11,2021,252,435,0.42
Cervantes,10,13,7,11,2021,277,409,0.32
El Palo,10,13,7,11,2021,25,127,0.8
Av. de Andalucía,10,13,7,11,2021,435,613,0.29
Camas,10,13,7,11,2021,194,350,0.45
Cruz De Humilladero,10,13,7,11,2021,79,217,0.64
Alcazaba,10,13,7,11,2021,186,378,0.51
San Juan De La Cruz,10,13,7,11,2021,303,487,0.38
Pz. de la Marina,10,13,7,11,2021,193,430,0.55
Tejón y Rodriguez,10,13,7,11,2021,74,187,0.6
Salitre,9,13,7,11,2021,258,435,0.41
Cervantes,9,13,7,11,2021,306,409,0.25
El Palo,9,13,7,11,2021,40,127,0.69
Av. de Andalucía,9,13,7,11,2021,488,613,0.2
Camas,9,13,7,11,2021,194,350,0.45
Cruz De Humilladero,9,13,7,11,2021,99,217,0.54
Alcazaba,9,13,7,11,2021,186,378,0.51
San Juan De La Cruz,9,13,7,11,2021,307,487,0.37
Pz. de la Marina,9,13,7,11,2021,193,430,0.55
Tejón y Rodriguez,9,13,7,11,2021,94,187,0.5
Salitre,8,13,7,11,2021,258,435,0.41
Cervantes,8,13,7,11,2021,313,409,0.23
El Palo,8,13,7,11,2021,70,127,0.45
Av. de Andalucía,8,13,7,11,2021,502,613,0.18
Camas,8,13,7,11,2021,194,350,0.45
Cruz De Humilladero,8,13,7,11,2021,99,217,0.54
Alcazaba,8,13,7,11,2021,186,378,0.51
San Juan De La Cruz,8,13,7,11,2021,307,487,0.37
Pz. de la Marina,8,13,7,11,2021,193,430,0.55
Tejón y Rodriguez,8,13,7,11,2021,94,187,0.5
Salitre,7,13,7,11,2021,255,435,0.41
Cervantes,7,13,7,11,2021,311,409,0.24
El Palo,7,13,7,11,2021,74,127,0.42
Av. de Andalucía,7,13,7,11,2021,504,613,0.18
Camas,7,13,7,11,2021,194,350,0.45
Cruz De Humilladero,7,13,7,11,2021,100,217,0.54
Alcazaba,7,13,7,11,2021,186,378,0.51
San Juan De La Cruz,7,13,7,11,2021,308,487,0.37
Pz. de la Marina,7,13,7,11,2021,193,430,0.55
Tejón y Rodriguez,7,13,7,11,2021,99,187,0.47
Salitre,6,13,7,11,2021,254,435,0.42
Cervantes,6,13,7,11,2021,307,409,0.25
El Palo,6,13,7,11,2021,75,127,0.41
Av. de Andalucía,6,13,7,11,2021,504,613,0.18
Camas,6,13,7,11,2021,214,350,0.39
Cruz De Humilladero,6,13,7,11,2021,100,217,0.54
